metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,KNN,ECOD,XGBOD,RBFSVC,RandomForest,Perfect,AlwaysNormal,AlwaysAnomaly,Inverted
dicec,binary,False,SPM,SPM,SPM,0.92023500,0.46788300,0.93072700,0.97595700,0.98337100,1.00000000,0.00000000,0.30199600,0.00000000
pak,continuous,False,SPM,SPM,SPM,0.86440700,0.32634500,0.97903400,0.98814900,0.98272700,1.00000000,0.17785300,0.17785300,0.00000000
pw_auc_pr,continuous,False,SPM,SPM,SPM,0.86360700,0.43625700,0.99036400,0.99436700,0.99165700,1.00000000,0.17785300,0.17785300,0.17785300
pw_auc_roc,continuous,False,SPM,SPM,SPM,0.98290600,0.76881100,0.99784600,0.99898100,0.99864500,1.00000000,0.50000000,0.50000000,0.00000000
pwf,binary,False,SPM,SPM,SPM,0.92023500,0.46788300,0.93072700,0.97595700,0.98337100,1.00000000,0.00000000,0.30199600,0.00000000
bpaf,binary,False,TEM,TPDM,TEM/TPDM,0.90698600,0.50080100,0.91876000,0.96439600,0.97511100,1.00000000,0.00000000,0.30199600,0.00582000
cf,binary,False,TEM,TPDM,TEM/TPDM,0.92062200,0.46792000,0.93151900,0.97639200,0.98469800,1.00000000,0.00000000,0.30199600,0.00000000
pa_auc_pr,continuous,False,TEM,TPDM,TEM/TPDM,0.93915100,0.59343500,0.99804700,0.99795100,0.99366100,1.00000000,0.58892700,0.58892700,0.08892700
pa_auc_roc,continuous,False,TEM,TPDM,TEM/TPDM,0.98501300,0.89689100,0.99988200,0.99988900,0.99935700,1.00000000,0.50000000,0.50000000,0.00000000
paf,binary,False,TEM,TPDM,TEM/TPDM,0.92068800,0.50577900,0.93163500,0.97641300,0.98474000,1.00000000,0.00000000,0.30199600,0.00000000
rbf,binary,False,TEM,TPDM,TEM/TPDM,0.28438200,0.52878700,0.31767700,0.37927000,0.41761200,1.00000000,0.00000000,0.74128900,0.00000000
swf,binary,False,TEM,TPDM,TEM/TPDM,0.50000000,0.42857100,0.54054100,0.60606100,0.64516100,1.00000000,0.00000000,1.00000000,0.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,0.99961200,0.76497900,0.96627900,0.99961200,0.95516800,1.00000000,0.00000000,1.00000000,0.00000000
dair,binary,False,TEM,PTDM,TEM/PTDM,0.85303300,0.32628600,0.87201900,0.95391300,0.96993800,1.00000000,0.00000000,0.17785300,0.01419100
pakf,binary,False,TEM,PTDM,TEM/PTDM,0.92068800,0.50474200,0.93163500,0.97641300,0.98474000,1.00000000,0.00000000,0.30199600,0.00000000
paklf,binary,False,TEM,PTDM,TEM/PTDM,0.92068800,0.47511200,0.93163500,0.97641300,0.98474000,1.00000000,0.00000000,0.30199600,0.00000000
taf,binary,False,TEM,PTDM,TEM/PTDM,0.28485300,0.51906100,0.31905300,0.37986400,0.41960400,1.00000000,0.00000000,0.16531000,0.14641800
tdir,binary,False,TEM,PTDM,TEM/PTDM,1.00000000,0.94257100,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,0.06654500
wdd,binary,False,TEM,PTDM,TEM/PTDM,0.97046500,0.63145800,0.97500900,0.99318300,0.99577700,1.00000000,0.84317200,0.15682800,0.00000000
dtpaf,binary,False,TEM,DPM,TEM/DPM,0.92068800,0.33616500,0.93027200,0.97641300,0.97924200,1.00000000,0.00000000,0.30199600,0.00000000
eds,binary,False,TEM,DPM,TEM/DPM,0.73606600,0.70000000,0.73278700,0.73606600,0.72786900,0.73278700,0.00000000,1.00000000,0.88032800
lsaf,binary,False,TEM,DPM,TEM/DPM,0.92068800,0.48120300,0.93118100,0.97641300,0.98382700,1.00000000,0.00000000,0.30199600,0.00000000
mttd,binary,True,TEM,DPM,TEM/DPM,1.00000000,0.08695700,0.90909100,1.00000000,0.83333300,1.00000000,1.00000000,1.00000000,0.00910700
nab_score,binary,False,TEM,DPM,TEM/DPM,0.96440700,0.59632200,0.96982900,0.99123300,0.99451900,1.00000000,0.96413600,0.03586400,0.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,0.75056300,0.76111400,0.75063900,0.75056300,0.75081800,0.75033400,1.00000000,0.75033400,1.00000000
etaf,binary,False,TEM,TMEM,TEM/TMEM,0.69868600,0.54021300,0.73201900,0.85532900,0.88367800,1.00000000,0.00000000,0.00000000,0.00000000
