metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,KNN,ECOD,XGBOD,RBFSVC,RandomForest,Perfect,AlwaysNormal,AlwaysAnomaly,Inverted
dicec,binary,False,SPM,SPM,SPM,0.92023510,0.46788338,0.93072673,0.97595726,0.98337079,1.00000000,0.00000000,0.30199587,0.00000000
pak,continuous,False,SPM,SPM,SPM,0.86440678,0.32634458,0.97903373,0.98814950,0.98272727,1.00000000,0.17785344,0.17785344,0.00000000
pw_auc_pr,continuous,False,SPM,SPM,SPM,0.86360686,0.43625682,0.99036440,0.99436689,0.99165685,1.00000000,0.17785344,0.17785344,0.17785344
pw_auc_roc,continuous,False,SPM,SPM,SPM,0.98290573,0.76881123,0.99784617,0.99898146,0.99864486,1.00000000,0.50000000,0.50000000,0.00000000
pwf,binary,False,SPM,SPM,SPM,0.92023510,0.46788338,0.93072673,0.97595726,0.98337079,1.00000000,0.00000000,0.30199587,0.00000000
bpaf,binary,False,TEM,TPDM,TEM/TPDM,0.90698636,0.50080110,0.91876047,0.96439560,0.97511111,1.00000000,0.00000000,0.30199587,0.00581959
cf,binary,False,TEM,TPDM,TEM/TPDM,0.92062159,0.46792035,0.93151850,0.97639198,0.98469847,1.00000000,0.00000000,0.30199587,0.00000000
pa_auc_pr,continuous,False,TEM,TPDM,TEM/TPDM,0.93915132,0.59343469,0.99804681,0.99795106,0.99366108,1.00000000,0.58892672,0.58892672,0.08892672
pa_auc_roc,continuous,False,TEM,TPDM,TEM/TPDM,0.98501282,0.89689113,0.99988244,0.99988918,0.99935699,1.00000000,0.50000000,0.50000000,0.00000000
paf,binary,False,TEM,TPDM,TEM/TPDM,0.92068821,0.50577901,0.93163482,0.97641300,0.98473968,1.00000000,0.00000000,0.30199587,0.00000000
rbf,binary,False,TEM,TPDM,TEM/TPDM,0.28438194,0.52878691,0.31767738,0.37927012,0.41761161,1.00000000,0.00000000,0.74128871,0.00000000
swf,binary,False,TEM,TPDM,TEM/TPDM,0.50000000,0.42857143,0.54054054,0.60606061,0.64516129,1.00000000,0.00000000,1.00000000,0.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,0.99961240,0.76497852,0.96627907,0.99961240,0.95516796,1.00000000,0.00000000,1.00000000,0.00000000
dair,binary,False,TEM,PTDM,TEM/PTDM,0.85303266,0.32628589,0.87201908,0.95391304,0.96993811,1.00000000,0.00000000,0.17785344,0.01419129
pakf,binary,False,TEM,PTDM,TEM/PTDM,0.92068821,0.50474208,0.93163482,0.97641300,0.98473968,1.00000000,0.00000000,0.30199587,0.00000000
paklf,binary,False,TEM,PTDM,TEM/PTDM,0.92068821,0.47511205,0.93163482,0.97641300,0.98473968,1.00000000,0.00000000,0.30199587,0.00000000
taf,binary,False,TEM,PTDM,TEM/PTDM,0.28485310,0.51906067,0.31905298,0.37986366,0.41960369,1.00000034,0.00000000,0.16530954,0.14641779
tdir,binary,False,TEM,PTDM,TEM/PTDM,1.00000000,0.94257065,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,0.06654512
wdd,binary,False,TEM,PTDM,TEM/PTDM,762.03500342,-1267.41307750,789.23426602,898.03500342,913.56062756,938.84388496,0.00000000,-4108.75611504,-5047.60000000
dtpaf,binary,False,TEM,DPM,TEM/DPM,0.92068821,0.33616474,0.93027211,0.97641300,0.97924188,1.00000000,0.00000000,0.30199587,0.00000000
eds,binary,False,TEM,DPM,TEM/DPM,0.73606557,0.70000000,0.73278689,0.73606557,0.72786885,0.73278689,0.00000000,1.00000000,0.88032787
lsaf,binary,False,TEM,DPM,TEM/DPM,0.92068820,0.48120301,0.93118096,0.97641299,0.98382748,0.99999999,0.00000000,0.30199587,0.00000000
mttd,binary,True,TEM,DPM,TEM/DPM,0.00000000,10.50000000,0.10000000,0.00000000,0.20000000,0.00000000,0.00000000,0.00000000,108.80000000
nab_score,binary,False,TEM,DPM,TEM/DPM,0.75617692,-1025.58296623,15.87488823,75.55617692,84.71628963,100.00000000,0.00000000,-2588.31856605,-2688.31856605
add,binary,True,TEM,TMEM,TEM/TMEM,0.24943717,0.23888580,0.24936055,0.24943717,0.24918223,0.24966558,0.00000000,0.24966558,0.00000000
etaf,binary,False,TEM,TMEM,TEM/TMEM,0.69868563,0.54021252,0.73201938,0.85532886,0.88367806,1.00000000,0.00000000,0.00000000,0.00000000
td,binary,True,TEM,TMEM,TEM/TMEM,280702.00000000,3988303.00000000,189094.00000000,54268.00000000,27472.00000000,0.00000000,6766296.00000000,5682969.00000000,5748720.00000000
aff_f,binary,False,TEM,TSTM,TEM/TSTM,0.94910895,0.83327862,0.95436566,0.95411233,0.95752098,1.00000000,0.00000000,0.83186556,0.36621857
naff_f,binary,False,TEM,TSTM,TEM/TSTM,0.92567784,0.77636579,0.93352621,0.93313147,0.93821461,1.00000000,0.00000000,0.74115628,0.18276466
pate,continuous,False,TEM,TSTM,TEM/TSTM,0.92769160,0.43615779,0.99088610,0.99425697,0.99252966,1.00000000,0.58919454,0.58919454,0.08969447
pate_f1,binary,False,TEM,TSTM,TEM/TSTM,0.92084983,0.46855179,0.93134299,0.97657554,0.98384037,1.00000000,0.00000000,0.30276752,0.00034311
ttf,binary,False,TEM,TSTM,TEM/TSTM,0.92872030,0.48240329,0.93963698,0.98453380,0.99150648,1.00000000,0.00000000,0.31314098,0.01657368
vus_pr,continuous,False,TEM,TSTM,TEM/TSTM,0.86961372,0.34056454,0.99049076,0.99561408,0.99077059,1.00000000,0.17940004,0.17940004,0.17787051
vus_roc,continuous,False,TEM,TSTM,TEM/TSTM,0.98371401,0.68378469,0.99817226,0.99928056,0.99839701,1.00000000,0.50047108,0.50047108,0.00524936
