metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,on_time_penalty,early_warning_penalty,late_detection_penalty,tradeoff_balance
dtpaf,binary,False,TEM,DPM,TEM/DPM,0.00000000,0.22862054,1.00000000,0.77137946
eds,binary,False,TEM,DPM,TEM/DPM,0.00000000,-0.87576720,0.74123457,1.61700176
lsaf,binary,False,TEM,DPM,TEM/DPM,0.00000000,0.25969921,0.38935252,0.12965331
mttd,binary,True,TEM,DPM,TEM/DPM,0.00000000,0.00000000,0.16367580,0.16367580
nab_score,binary,False,TEM,DPM,TEM/DPM,0.00000000,0.26083626,0.02801725,-0.23281901
adc,binary,False,TEM,PTDM,TEM/PTDM,0.00000000,0.00000000,0.53917949,0.53917949
dair,binary,False,TEM,PTDM,TEM/PTDM,0.00000000,0.64833460,0.00000000,-0.64833460
pakf,binary,False,TEM,PTDM,TEM/PTDM,0.00000000,0.26379293,0.34279549,0.07900256
paklf,binary,False,TEM,PTDM,TEM/PTDM,0.00000000,0.26379293,0.41722254,0.15342961
taf,binary,False,TEM,PTDM,TEM/PTDM,0.00000000,0.31034303,0.49730167,0.18695864
tdir,binary,False,TEM,PTDM,TEM/PTDM,0.00000000,0.00000000,0.36337738,0.36337738
wdd,binary,False,TEM,PTDM,TEM/PTDM,0.00000000,0.25486702,0.23258654,-0.02228048
dicec,binary,False,SPM,SPM,SPM,0.00000000,0.26379293,0.45141486,0.18762193
pwf,binary,False,SPM,SPM,SPM,0.00000000,0.26379293,0.45141486,0.18762193
add,binary,True,TEM,TMEM,TEM/TMEM,0.00000000,0.00000000,0.25532778,0.25532778
etaf,binary,False,TEM,TMEM,TEM/TMEM,0.00000000,0.18507861,0.47537971,0.29030110
td,binary,True,TEM,TMEM,TEM/TMEM,0.00000000,0.07740503,0.10828441,0.03087938
bpaf,binary,False,TEM,TPDM,TEM/TPDM,0.00000000,0.60471326,0.00000000,-0.60471326
cf,binary,False,TEM,TPDM,TEM/TPDM,0.00000000,0.58425248,0.00000000,-0.58425248
paf,binary,False,TEM,TPDM,TEM/TPDM,0.00000000,0.58425248,0.00000000,-0.58425248
rbf,binary,False,TEM,TPDM,TEM/TPDM,0.00000000,0.54546640,0.60452018,0.05905378
swf,binary,False,TEM,TPDM,TEM/TPDM,0.00000000,0.00000000,0.00000000,0.00000000
aff_f,binary,False,TEM,TSTM,TEM/TSTM,0.00000000,0.26378129,0.17326517,-0.09051612
naff_f,binary,False,TEM,TSTM,TEM/TSTM,0.00000000,0.39589757,0.17326517,-0.22263240
pate_f1,binary,False,TEM,TSTM,TEM/TSTM,0.00000000,0.24581590,0.44728474,0.20146885
ttf,binary,False,TEM,TSTM,TEM/TSTM,0.00000000,0.11278450,0.20259994,0.08981544
