metric_name,category,input_type,complexity,first_timeout_size,a,R2
dtpaf,DPM,binary,O(n),,5.298847650261765e-08,0.9999245397408969
eds,DPM,binary,O(n),,4.2878362046910554e-07,0.9999810996768372
lsaf,DPM,binary,O(n),,7.560041125356007e-07,0.9999978850112434
mttd,DPM,binary,O(n),,2.716270233743742e-07,0.9999931771835485
nab_score,DPM,binary,O(n^2),,2.3998565993300587e-09,0.9999995221611074
adc,PTDM,binary,O(n),,4.1689193697278775e-08,0.9998268676814385
dair,PTDM,binary,O(n),,1.2031606318406264e-07,0.9954219994375464
pakf,PTDM,binary,O(n),,1.3420255347290204e-07,0.997981806869284
paklf,PTDM,binary,O(n),,8.718379990886849e-07,0.9998852265764151
taf,PTDM,binary,O(n^2),,9.290030213386483e-09,0.9999435129644237
tdir,PTDM,binary,O(n),,1.1887160175949857e-07,0.9997875220233172
wdd,PTDM,binary,O(n),,8.461926158690763e-06,0.9999987338462368
dicec,SPM,binary,O(n),,2.7836117279669205e-08,0.9999093310054966
pak,SPM,continuous,O(n),,3.1545758658009405e-08,0.9964108197475383
pw_auc_pr,SPM,continuous,O(n log n),,1.0222005908206701e-08,0.9998371588900405
pw_auc_roc,SPM,continuous,O(n),,1.9115870462385918e-07,0.9996517336576611
pwf,SPM,binary,O(n),,2.8283787110993466e-08,0.9994071371834533
add,TMEM,binary,O(n),,7.193006332583419e-07,0.9999994255207105
etaf,TMEM,binary,O(n^2),,4.0611244486652025e-09,0.9999467317931
td,TMEM,binary,O(n),,3.920667546127558e-07,0.9999840060964582
bpaf,TPDM,binary,O(n),,5.671061765211577e-07,0.9996760154779812
cf,TPDM,binary,O(n),,3.6382981202944446e-07,0.9993645622099073
pa_auc_pr,TPDM,continuous,O(n),,2.2648900645831878e-05,0.9999914365234204
pa_auc_roc,TPDM,continuous,O(n),,2.2650381935295238e-05,0.9999974546631578
paf,TPDM,binary,O(n),,4.709340684750889e-07,0.9999846182472248
rbf,TPDM,binary,O(n^2),,4.3278846740926705e-09,0.9998274262846756
swf,TPDM,binary,O(n),,1.3325666319401973e-07,0.9889343926063492
aff_f,TSTM,binary,O(n^2),,2.2493456315432027e-09,0.9999913997752964
naff_f,TSTM,binary,O(n^2),,2.272945402894809e-09,0.9999952295869324
pate,TSTM,continuous,O(n^2),131072,5.528429831772277e-06,0.9999613103429134
pate_f1,TSTM,binary,O(n^2),,2.484175647695943e-08,0.9999269860959151
ttf,TSTM,binary,O(n),,9.007342318727106e-08,0.9999097862923957
vus_pr,TSTM,continuous,O(n),,0.001400112954562456,0.9999954010613163
vus_roc,TSTM,continuous,O(n),,0.0014023744088888348,0.9999955894414001
