metric_name,category,input_type,complexity,first_timeout_size,a,R2
dtpaf,DPM,binary,O(n),,3.1089274156702395e-08,0.9997227476818515
eds,DPM,binary,O(n),,3.441437148551477e-08,0.9998599037828962
lsaf,DPM,binary,O(n log n),,1.606197225039632e-09,0.9999369628959122
mttd,DPM,binary,O(n),,3.132928740391513e-08,0.9998039305214996
nab_score,DPM,binary,O(n log n),,2.9767041432889576e-07,0.9998398875431984
adc,PTDM,binary,O(n),,3.822139191932487e-08,0.9998229936691703
dair,PTDM,binary,O(n^2),,1.0661777079470852e-13,0.928373919078912
pakf,PTDM,binary,O(n log n),,2.343913600701302e-09,0.9879878611489378
paklf,PTDM,binary,O(n log n),,2.962169553137998e-09,0.9938944281427673
taf,PTDM,binary,O(n),,1.913558827593233e-06,0.984360147820753
tdir,PTDM,binary,O(n^2),,1.089454801088743e-13,0.9506566396628252
wdd,PTDM,binary,O(n),,7.89454770638269e-06,0.9999979457829553
dicec,SPM,binary,O(n log n),,1.2177415823410675e-09,0.9998570208964904
pak,SPM,continuous,O(n),,2.98351409248778e-08,0.9965904072181847
pw_auc_pr,SPM,continuous,O(n log n),,9.785542482551868e-09,0.9990480694064234
pw_auc_roc,SPM,continuous,O(n log n),,9.117394250837327e-09,0.9970859441796729
pwf,SPM,binary,O(n log n),,1.8793541581590285e-09,0.9994151590603114
add,TMEM,binary,O(n),,3.245218735749799e-08,0.9996176916663535
etaf,TMEM,binary,O(n),,8.943656569355743e-07,0.9812570869705217
td,TMEM,binary,O(n),,3.980187042670026e-07,0.986022716683374
bpaf,TPDM,binary,O(n),,6.171470552878193e-08,0.9998166191335304
cf,TPDM,binary,O(n),,2.907712269541462e-07,0.9999653913718219
pa_auc_pr,TPDM,continuous,O(n),,2.2494080935986834e-05,0.9999897193822912
pa_auc_roc,TPDM,continuous,O(n),,2.2314143463656167e-05,0.9999932455367769
paf,TPDM,binary,O(n),,3.12926207655168e-08,0.999746170776215
rbf,TPDM,binary,O(n),,9.63204548497867e-08,0.9993987219681113
swf,TPDM,binary,O(n),,4.4912834361336956e-08,0.9998370201566594
aff_f,TSTM,binary,O(n log n),,8.693191152656248e-09,0.9982246348692703
naff_f,TSTM,binary,O(n log n),,8.98610954304982e-09,0.9981176078128982
pate,TSTM,continuous,O(n^2),262144,1.8092832759101634e-06,0.9999856277195809
pate_f1,TSTM,binary,O(n^3),,3.5553697820398185e-15,0.9901361743909585
ttf,TSTM,binary,O(n log n),,4.708518798301393e-09,0.9992566556442174
vus_pr,TSTM,continuous,O(n),,5.7953928168708445e-06,0.9993704210355107
vus_roc,TSTM,continuous,O(n),,5.819886881987242e-06,0.9994082029020711
