pattern,metric_name,input_type,size,run_id,elapsed_sec,status
dense-fragmented,adc,binary,256,0,0.0005436744540929,ok
dense-fragmented,adc,binary,256,1,0.0005625151097774,ok
dense-fragmented,adc,binary,256,2,0.0004609869793057,ok
dense-fragmented,adc,binary,256,3,0.0004683546721935,ok
dense-fragmented,adc,binary,256,4,0.0004669968038797,ok
dense-fragmented,adc,binary,512,0,0.0005147568881511,ok
dense-fragmented,adc,binary,512,1,0.0004787752404808,ok
dense-fragmented,adc,binary,512,2,0.0004806723445653,ok
dense-fragmented,adc,binary,512,3,0.0005572773516178,ok
dense-fragmented,adc,binary,512,4,0.0006593791767954,ok
dense-fragmented,adc,binary,1024,0,0.0006331363692879,ok
dense-fragmented,adc,binary,1024,1,0.0006534457206726,ok
dense-fragmented,adc,binary,1024,2,0.0006484482437372,ok
dense-fragmented,adc,binary,1024,3,0.000658999197185,ok
dense-fragmented,adc,binary,1024,4,0.0006554005667567,ok
dense-fragmented,adc,binary,2048,0,0.0006699915975332,ok
dense-fragmented,adc,binary,2048,1,0.0006915358826518,ok
dense-fragmented,adc,binary,2048,2,0.0007088501006364,ok
dense-fragmented,adc,binary,2048,3,0.0007093399763107,ok
dense-fragmented,adc,binary,2048,4,0.0006943717598915,ok
dense-fragmented,adc,binary,4096,0,0.0007563726976513,ok
dense-fragmented,adc,binary,4096,1,0.0007770080119371,ok
dense-fragmented,adc,binary,4096,2,0.000777899287641,ok
dense-fragmented,adc,binary,4096,3,0.0007783528417348,ok
dense-fragmented,adc,binary,4096,4,0.0007962463423609,ok
dense-fragmented,adc,binary,8192,0,0.0009206840768456,ok
dense-fragmented,adc,binary,8192,1,0.0009776875376701,ok
dense-fragmented,adc,binary,8192,2,0.0009327568113803,ok
dense-fragmented,adc,binary,8192,3,0.0009335950016975,ok
dense-fragmented,adc,binary,8192,4,0.0009532738476991,ok
dense-fragmented,adc,binary,16384,0,0.0012276787310838,ok
dense-fragmented,adc,binary,16384,1,0.0012681521475315,ok
dense-fragmented,adc,binary,16384,2,0.0012464197352528,ok
dense-fragmented,adc,binary,16384,3,0.001266473904252,ok
dense-fragmented,adc,binary,16384,4,0.001246896572411,ok
dense-fragmented,adc,binary,32768,0,0.0019241124391555,ok
dense-fragmented,adc,binary,32768,1,0.0018772017210721,ok
dense-fragmented,adc,binary,32768,2,0.0018486073240637,ok
dense-fragmented,adc,binary,32768,3,0.0018708957359194,ok
dense-fragmented,adc,binary,32768,4,0.0018348833546042,ok
dense-fragmented,adc,binary,65536,0,0.0029430966824293,ok
dense-fragmented,adc,binary,65536,1,0.0029435940086841,ok
dense-fragmented,adc,binary,65536,2,0.0029527014121413,ok
dense-fragmented,adc,binary,65536,3,0.00295574311167,ok
dense-fragmented,adc,binary,65536,4,0.0029357429593801,ok
dense-fragmented,adc,binary,131072,0,0.0063273813575506,ok
dense-fragmented,adc,binary,131072,1,0.0063333436846733,ok
dense-fragmented,adc,binary,131072,2,0.0063273021951317,ok
dense-fragmented,adc,binary,131072,3,0.0063491268083453,ok
dense-fragmented,adc,binary,131072,4,0.0063970945775508,ok
dense-fragmented,adc,binary,262144,0,0.0114342030137777,ok
dense-fragmented,adc,binary,262144,1,0.0113150905817747,ok
dense-fragmented,adc,binary,262144,2,0.0112579744309186,ok
dense-fragmented,adc,binary,262144,3,0.0113125387579202,ok
dense-fragmented,adc,binary,262144,4,0.011374264024198,ok
dense-fragmented,adc,binary,524288,0,0.0226019984111189,ok
dense-fragmented,adc,binary,524288,1,0.0224956516176462,ok
dense-fragmented,adc,binary,524288,2,0.0225093215703964,ok
dense-fragmented,adc,binary,524288,3,0.0225345138460397,ok
dense-fragmented,adc,binary,524288,4,0.0226702485233545,ok
dense-fragmented,adc,binary,1048576,0,0.0441563846543431,ok
dense-fragmented,adc,binary,1048576,1,0.0441372906789183,ok
dense-fragmented,adc,binary,1048576,2,0.0441988930106163,ok
dense-fragmented,adc,binary,1048576,3,0.0442680194973945,ok
dense-fragmented,adc,binary,1048576,4,0.0442064050585031,ok
dense-fragmented,add,binary,256,0,0.0008492795750498,ok
dense-fragmented,add,binary,256,1,0.0006223255768418,ok
dense-fragmented,add,binary,256,2,0.0006151646375656,ok
dense-fragmented,add,binary,256,3,0.0006126016378402,ok
dense-fragmented,add,binary,256,4,0.0006143851205706,ok
dense-fragmented,add,binary,512,0,0.0008530719205737,ok
dense-fragmented,add,binary,512,1,0.0008029146119952,ok
dense-fragmented,add,binary,512,2,0.0008544484153389,ok
dense-fragmented,add,binary,512,3,0.0008005211129784,ok
dense-fragmented,add,binary,512,4,0.0008003935217857,ok
dense-fragmented,add,binary,1024,0,0.0011766413226723,ok
dense-fragmented,add,binary,1024,1,0.0011640889570116,ok
dense-fragmented,add,binary,1024,2,0.0011445675045251,ok
dense-fragmented,add,binary,1024,3,0.0011281035840511,ok
dense-fragmented,add,binary,1024,4,0.0011227764189243,ok
dense-fragmented,add,binary,2048,0,0.001993678510189,ok
dense-fragmented,add,binary,2048,1,0.0020188726484775,ok
dense-fragmented,add,binary,2048,2,0.0019420711323618,ok
dense-fragmented,add,binary,2048,3,0.0020012306049466,ok
dense-fragmented,add,binary,2048,4,0.0020128544420003,ok
dense-fragmented,add,binary,4096,0,0.0035272752866148,ok
dense-fragmented,add,binary,4096,1,0.0034365598112344,ok
dense-fragmented,add,binary,4096,2,0.0034516770392656,ok
dense-fragmented,add,binary,4096,3,0.003445747308433,ok
dense-fragmented,add,binary,4096,4,0.003468045964837,ok
dense-fragmented,add,binary,8192,0,0.0064043449237942,ok
dense-fragmented,add,binary,8192,1,0.0063672633841633,ok
dense-fragmented,add,binary,8192,2,0.0063271112740039,ok
dense-fragmented,add,binary,8192,3,0.0062839547172188,ok
dense-fragmented,add,binary,8192,4,0.006346795707941,ok
dense-fragmented,add,binary,16384,0,0.0125287463888525,ok
dense-fragmented,add,binary,16384,1,0.0123557727783918,ok
dense-fragmented,add,binary,16384,2,0.0123938871547579,ok
dense-fragmented,add,binary,16384,3,0.0125279128551483,ok
dense-fragmented,add,binary,16384,4,0.0124002397060394,ok
dense-fragmented,add,binary,32768,0,0.0239769937470555,ok
dense-fragmented,add,binary,32768,1,0.0239656083285808,ok
dense-fragmented,add,binary,32768,2,0.0238830503076314,ok
dense-fragmented,add,binary,32768,3,0.0237015299499034,ok
dense-fragmented,add,binary,32768,4,0.0240069963037967,ok
dense-fragmented,add,binary,65536,0,0.0474140662699937,ok
dense-fragmented,add,binary,65536,1,0.0473018754273653,ok
dense-fragmented,add,binary,65536,2,0.0473770890384912,ok
dense-fragmented,add,binary,65536,3,0.0470702704042196,ok
dense-fragmented,add,binary,65536,4,0.0471223043277859,ok
dense-fragmented,add,binary,131072,0,0.0956160658970475,ok
dense-fragmented,add,binary,131072,1,0.0944342836737632,ok
dense-fragmented,add,binary,131072,2,0.0949913496151566,ok
dense-fragmented,add,binary,131072,3,0.0952585414052009,ok
dense-fragmented,add,binary,131072,4,0.094848807901144,ok
dense-fragmented,add,binary,262144,0,0.190475832670927,ok
dense-fragmented,add,binary,262144,1,0.1898103356361389,ok
dense-fragmented,add,binary,262144,2,0.1876344969496131,ok
dense-fragmented,add,binary,262144,3,0.1880596987903118,ok
dense-fragmented,add,binary,262144,4,0.1890599885955453,ok
dense-fragmented,add,binary,524288,0,0.3783723842352628,ok
dense-fragmented,add,binary,524288,1,0.3753027450293302,ok
dense-fragmented,add,binary,524288,2,0.37978086899966,ok
dense-fragmented,add,binary,524288,3,0.3780411500483751,ok
dense-fragmented,add,binary,524288,4,0.3757251286879182,ok
dense-fragmented,add,binary,1048576,0,0.7585511859506369,ok
dense-fragmented,add,binary,1048576,1,0.7547256015241146,ok
dense-fragmented,add,binary,1048576,2,0.7548534963279963,ok
dense-fragmented,add,binary,1048576,3,0.754609914496541,ok
dense-fragmented,add,binary,1048576,4,0.7509234417229891,ok
dense-fragmented,aff_f,binary,256,0,0.0010951329022645,ok
dense-fragmented,aff_f,binary,256,1,0.0009601889178156,ok
dense-fragmented,aff_f,binary,256,2,0.0009706672281026,ok
dense-fragmented,aff_f,binary,256,3,0.0010004481300711,ok
dense-fragmented,aff_f,binary,256,4,0.0009540366008877,ok
dense-fragmented,aff_f,binary,512,0,0.0018012439832091,ok
dense-fragmented,aff_f,binary,512,1,0.0017187045887112,ok
dense-fragmented,aff_f,binary,512,2,0.0017498172819614,ok
dense-fragmented,aff_f,binary,512,3,0.001792780123651,ok
dense-fragmented,aff_f,binary,512,4,0.0017825551331043,ok
dense-fragmented,aff_f,binary,1024,0,0.003390485420823,ok
dense-fragmented,aff_f,binary,1024,1,0.0033802678808569,ok
dense-fragmented,aff_f,binary,1024,2,0.0033284714445471,ok
dense-fragmented,aff_f,binary,1024,3,0.0033536152914166,ok
dense-fragmented,aff_f,binary,1024,4,0.0037212399765849,ok
dense-fragmented,aff_f,binary,2048,0,0.0124577209353446,ok
dense-fragmented,aff_f,binary,2048,1,0.0125058470293879,ok
dense-fragmented,aff_f,binary,2048,2,0.0122619811445474,ok
dense-fragmented,aff_f,binary,2048,3,0.0125657208263874,ok
dense-fragmented,aff_f,binary,2048,4,0.0123017793521285,ok
dense-fragmented,aff_f,binary,4096,0,0.0448048133403062,ok
dense-fragmented,aff_f,binary,4096,1,0.0448958287015557,ok
dense-fragmented,aff_f,binary,4096,2,0.0445394832640886,ok
dense-fragmented,aff_f,binary,4096,3,0.0444669472053647,ok
dense-fragmented,aff_f,binary,4096,4,0.0450170757248997,ok
dense-fragmented,aff_f,binary,8192,0,0.1520687779411673,ok
dense-fragmented,aff_f,binary,8192,1,0.1536603858694434,ok
dense-fragmented,aff_f,binary,8192,2,0.152903651818633,ok
dense-fragmented,aff_f,binary,8192,3,0.1527728838846087,ok
dense-fragmented,aff_f,binary,8192,4,0.1532103205099702,ok
dense-fragmented,aff_f,binary,16384,0,0.6188038755208254,ok
dense-fragmented,aff_f,binary,16384,1,0.6209688596427441,ok
dense-fragmented,aff_f,binary,16384,2,0.6183992028236389,ok
dense-fragmented,aff_f,binary,16384,3,0.6193174906075001,ok
dense-fragmented,aff_f,binary,16384,4,0.6163941379636526,ok
dense-fragmented,aff_f,binary,32768,0,2.422794334590435,ok
dense-fragmented,aff_f,binary,32768,1,2.420192855410278,ok
dense-fragmented,aff_f,binary,32768,2,2.4297789931297302,ok
dense-fragmented,aff_f,binary,32768,3,2.419336677528918,ok
dense-fragmented,aff_f,binary,32768,4,2.4156066747382283,ok
dense-fragmented,aff_f,binary,65536,0,9.541822989471257,ok
dense-fragmented,aff_f,binary,65536,1,9.572480882517992,ok
dense-fragmented,aff_f,binary,65536,2,9.530853349715471,ok
dense-fragmented,aff_f,binary,65536,3,9.515029532834888,ok
dense-fragmented,aff_f,binary,65536,4,9.542472277767956,ok
dense-fragmented,aff_f,binary,131072,0,39.1999748563394,ok
dense-fragmented,aff_f,binary,131072,1,39.04367888625711,ok
dense-fragmented,aff_f,binary,131072,2,39.077199002727866,ok
dense-fragmented,aff_f,binary,131072,3,39.322940707206726,ok
dense-fragmented,aff_f,binary,131072,4,38.99419808201492,ok
dense-fragmented,aff_f,binary,262144,0,154.5748412394896,ok
dense-fragmented,aff_f,binary,262144,1,154.29847245756537,ok
dense-fragmented,aff_f,binary,262144,2,154.1388250347227,ok
dense-fragmented,aff_f,binary,262144,3,154.84943813085556,ok
dense-fragmented,aff_f,binary,262144,4,154.358356279321,ok
dense-fragmented,aff_f,binary,524288,0,611.1258687702939,ok
dense-fragmented,aff_f,binary,524288,1,612.020433225669,ok
dense-fragmented,aff_f,binary,524288,2,611.5321286916733,ok
dense-fragmented,aff_f,binary,524288,3,610.9812223315239,ok
dense-fragmented,aff_f,binary,524288,4,611.1806088294834,ok
dense-fragmented,aff_f,binary,1048576,0,2479.5154291260988,ok
dense-fragmented,aff_f,binary,1048576,1,2473.16468575038,ok
dense-fragmented,aff_f,binary,1048576,2,2468.980421850458,ok
dense-fragmented,aff_f,binary,1048576,3,2469.154966111295,ok
dense-fragmented,aff_f,binary,1048576,4,2478.8199308915064,ok
dense-fragmented,bpaf,binary,256,0,0.0006891004741191,ok
dense-fragmented,bpaf,binary,256,1,0.0006690025329589,ok
dense-fragmented,bpaf,binary,256,2,0.0006168065592646,ok
dense-fragmented,bpaf,binary,256,3,0.0006404500454664,ok
dense-fragmented,bpaf,binary,256,4,0.0006438139826059,ok
dense-fragmented,bpaf,binary,512,0,0.0008574211969971,ok
dense-fragmented,bpaf,binary,512,1,0.0007810983806848,ok
dense-fragmented,bpaf,binary,512,2,0.0007832394912838,ok
dense-fragmented,bpaf,binary,512,3,0.0007592225447297,ok
dense-fragmented,bpaf,binary,512,4,0.0007573002949357,ok
dense-fragmented,bpaf,binary,1024,0,0.0011125300079584,ok
dense-fragmented,bpaf,binary,1024,1,0.0010513653978705,ok
dense-fragmented,bpaf,binary,1024,2,0.0010483441874384,ok
dense-fragmented,bpaf,binary,1024,3,0.0013597207143902,ok
dense-fragmented,bpaf,binary,1024,4,0.0013535786420106,ok
dense-fragmented,bpaf,binary,2048,0,0.0021816566586494,ok
dense-fragmented,bpaf,binary,2048,1,0.0021675564348697,ok
dense-fragmented,bpaf,binary,2048,2,0.0022075297310948,ok
dense-fragmented,bpaf,binary,2048,3,0.0021605473011732,ok
dense-fragmented,bpaf,binary,2048,4,0.0021964181214571,ok
dense-fragmented,bpaf,binary,4096,0,0.0036939699202775,ok
dense-fragmented,bpaf,binary,4096,1,0.0037520872429013,ok
dense-fragmented,bpaf,binary,4096,2,0.003712928853929,ok
dense-fragmented,bpaf,binary,4096,3,0.0037468904629349,ok
dense-fragmented,bpaf,binary,4096,4,0.0037327082827687,ok
dense-fragmented,bpaf,binary,8192,0,0.0066069504246115,ok
dense-fragmented,bpaf,binary,8192,1,0.006609421223402,ok
dense-fragmented,bpaf,binary,8192,2,0.0066950004547834,ok
dense-fragmented,bpaf,binary,8192,3,0.0064193354919552,ok
dense-fragmented,bpaf,binary,8192,4,0.0064303679391741,ok
dense-fragmented,bpaf,binary,16384,0,0.0123434634879231,ok
dense-fragmented,bpaf,binary,16384,1,0.012351338751614,ok
dense-fragmented,bpaf,binary,16384,2,0.0121369706466794,ok
dense-fragmented,bpaf,binary,16384,3,0.0122010046616196,ok
dense-fragmented,bpaf,binary,16384,4,0.0123519068583846,ok
dense-fragmented,bpaf,binary,32768,0,0.0239126682281494,ok
dense-fragmented,bpaf,binary,32768,1,0.0239797057583928,ok
dense-fragmented,bpaf,binary,32768,2,0.0238543795421719,ok
dense-fragmented,bpaf,binary,32768,3,0.0239399159327149,ok
dense-fragmented,bpaf,binary,32768,4,0.0239351587370038,ok
dense-fragmented,bpaf,binary,65536,0,0.0463312258943915,ok
dense-fragmented,bpaf,binary,65536,1,0.046327905729413,ok
dense-fragmented,bpaf,binary,65536,2,0.0470854956656694,ok
dense-fragmented,bpaf,binary,65536,3,0.0461695790290832,ok
dense-fragmented,bpaf,binary,65536,4,0.0465186471119523,ok
dense-fragmented,bpaf,binary,131072,0,0.0930300569161772,ok
dense-fragmented,bpaf,binary,131072,1,0.0928989611566066,ok
dense-fragmented,bpaf,binary,131072,2,0.093897764571011,ok
dense-fragmented,bpaf,binary,131072,3,0.0760275209322571,ok
dense-fragmented,bpaf,binary,131072,4,0.0755778169259429,ok
dense-fragmented,bpaf,binary,262144,0,0.1484502032399177,ok
dense-fragmented,bpaf,binary,262144,1,0.1514949658885598,ok
dense-fragmented,bpaf,binary,262144,2,0.1502166101709008,ok
dense-fragmented,bpaf,binary,262144,3,0.1503586554899811,ok
dense-fragmented,bpaf,binary,262144,4,0.1495764274150133,ok
dense-fragmented,bpaf,binary,524288,0,0.3017499577254057,ok
dense-fragmented,bpaf,binary,524288,1,0.3024523323401809,ok
dense-fragmented,bpaf,binary,524288,2,0.3008599625900388,ok
dense-fragmented,bpaf,binary,524288,3,0.2990902550518513,ok
dense-fragmented,bpaf,binary,524288,4,0.3012343067675829,ok
dense-fragmented,bpaf,binary,1048576,0,0.6002434454858303,ok
dense-fragmented,bpaf,binary,1048576,1,0.6045220419764519,ok
dense-fragmented,bpaf,binary,1048576,2,0.5933966245502234,ok
dense-fragmented,bpaf,binary,1048576,3,0.605038826353848,ok
dense-fragmented,bpaf,binary,1048576,4,0.6006854474544525,ok
dense-fragmented,cf,binary,256,0,0.0006135115399956,ok
dense-fragmented,cf,binary,256,1,0.000546945258975,ok
dense-fragmented,cf,binary,256,2,0.0005538687109947,ok
dense-fragmented,cf,binary,256,3,0.0005262428894639,ok
dense-fragmented,cf,binary,256,4,0.0005312953144311,ok
dense-fragmented,cf,binary,512,0,0.0006382819265127,ok
dense-fragmented,cf,binary,512,1,0.0006575211882591,ok
dense-fragmented,cf,binary,512,2,0.0006580324843525,ok
dense-fragmented,cf,binary,512,3,0.0006566112861037,ok
dense-fragmented,cf,binary,512,4,0.0006571002304553,ok
dense-fragmented,cf,binary,1024,0,0.0008675018325448,ok
dense-fragmented,cf,binary,1024,1,0.0008840300142765,ok
dense-fragmented,cf,binary,1024,2,0.0008936608210206,ok
dense-fragmented,cf,binary,1024,3,0.0008814884349703,ok
dense-fragmented,cf,binary,1024,4,0.0008796826004981,ok
dense-fragmented,cf,binary,2048,0,0.001315058209002,ok
dense-fragmented,cf,binary,2048,1,0.00136683229357,ok
dense-fragmented,cf,binary,2048,2,0.0013365084305405,ok
dense-fragmented,cf,binary,2048,3,0.0013480940833687,ok
dense-fragmented,cf,binary,2048,4,0.0013333791866898,ok
